id_subetapa,etapa,subetapa,ordem_etapa,ordem_subetapa,responsável,área
100,Mobilização,Limpeza do terreno,1,1,João Rocher,Mobilização
101,Mobilização,Tapume,1,2,Marina Lopez,Mobilização
102,Mobilização,Barracão de obra,1,3,Marina Lopez,Mobilização
103,Fundação,Sondagem,2,1,Eduardo Reis,Fundação
104,Fundação,Escavação,2,2,Carlos Silva,Fundação
105,Fundação,Blocos de fundação,2,3,Eduardo Reis,Fundação
106,Fundação,Vigas baldrame,2,4,Marina Lopez,Fundação
107,Estrutura,Pilares,3,1,João Rocher,Estrutura
108,Estrutura,Vigas,3,2,Marina Lopez,Estrutura
109,Estrutura,Lajes,3,3,Anastasia Laffer,Estrutura
110,Alvenaria,Alvenaria externa,4,1,Marina Lopez,Alvenaria
111,Alvenaria,Alvenaria interna,4,2,João Rocher,Alvenaria
112,Alvenaria,Vergas e contravergas,4,3,Marina Lopez,Alvenaria
113,Instalações Elétricas,Eletrodutos,5,1,Marina Lopez,Instalações Elétricas
114,Instalações Elétricas,Fiação,5,2,João Rocher,Instalações Elétricas
115,Instalações Elétricas,Tomadas,5,3,Anastasia Laffer,Instalações Elétricas
116,Instalações Hidrossanitárias,Tubulações de água,6,1,Carlos Silva,Instalações Hidrossanitárias
117,Instalações Hidrossanitárias,Esgoto,6,2,João Rocher,Instalações Hidrossanitárias
118,Instalações Hidrossanitárias,Louças,6,3,João Rocher,Instalações Hidrossanitárias
119,Revestimentos,Chapisco,7,1,Eduardo Reis,Revestimentos
120,Revestimentos,Emboço,7,2,Carlos Silva,Revestimentos
121,Revestimentos,Cerâmica piso,7,3,João Rocher,Revestimentos
122,Revestimentos,Cerâmica parede,7,4,Carlos Silva,Revestimentos
123,Pintura,Massa corrida,8,1,Anastasia Laffer,Pintura
124,Pintura,Pintura interna,8,2,Eduardo Reis,Pintura
125,Pintura,Pintura externa,8,3,João Rocher,Pintura
126,Cobertura,Estrutura metálica,9,1,Anastasia Laffer,Cobertura
127,Cobertura,Telhas,9,2,Marina Lopez,Cobertura
128,Cobertura,Rufos,9,3,Eduardo Reis,Cobertura
129,Finalização,Esquadrias,10,1,Eduardo Reis,Finalização
130,Finalização,Limpeza fina,10,2,Carlos Silva,Finalização
131,Finalização,Entrega da obra,10,3,João Rocher,Finalização
